단어,갈래,레벨,CEFR,배정챕터,챕터명,실측최빈,일치,성격
mention,알리고 밝히기,레벨1,A2,4,학교생활,ch9,X,장면에 넣을 수 있음
quote,알리고 밝히기,레벨2,B2,4,학교생활,ch9,X,장면에 넣을 수 있음
refer,알리고 밝히기,레벨1,A2,4,학교생활,ch9,X,장면에 넣을 수 있음
remark,알리고 밝히기,레벨2,B1,4,학교생활,ch9,X,장면에 넣을 수 있음
represent,알리고 밝히기,레벨1,A2,4,학교생활,ch9,X,장면에 넣을 수 있음
civil,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
discipline,규칙과 사회,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
elect,규칙과 사회,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
govern,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
innocent,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
justice,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
moral,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
policy,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
privacy,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
private,규칙과 사회,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
public,규칙과 사회,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
standard,규칙과 사회,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
automatic,기계와 도구,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
click,기계와 도구,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
code,기계와 도구,레벨1,A1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
electric,기계와 도구,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
glue,기계와 도구,레벨1,미수록|로부장수기,5,도시와 교통,ch5,O,장면에 넣을 수 있음
label,기계와 도구,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
pump,기계와 도구,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
technology,기계와 도구,레벨1,A1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
capital,도시의 건물,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
cinema,도시의 건물,레벨1,A1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
hotel,도시의 건물,레벨1,A1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
prison,도시의 건물,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
studio,도시의 건물,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
budget,돈,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
credit,돈,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
debt,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
earn,돈,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
economy,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
estimate,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
expense,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
finance,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
insure,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
loss,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
profit,돈,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
salary,돈,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
tax,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
value,돈,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
worth,돈,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
bet,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
brand,사고팔기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
contract,사고팔기,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
demand,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
guarantee,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
property,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
rent,사고팔기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
sponsor,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
supply,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
trade,사고팔기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
waste,사고팔기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
boss,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
captain,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
career,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
chairman,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
chief,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
clerk,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
client,일과 직업,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
dentist,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
engineer,일과 직업,레벨1,A1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
guest,일과 직업,레벨1,A1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
industry,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
lab,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
labor,일과 직업,레벨2,미수록|로부장수기,5,도시와 교통,ch8,X,장면에 넣을 수 있음
laboratory,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
lawyer,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
manufacture,일과 직업,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
master,일과 직업,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
mill,일과 직업,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
poet,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
profession,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
promote,일과 직업,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
secretary,일과 직업,레벨1,A2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
contribute,주고받기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
donate,주고받기,레벨2,B2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
exchange,주고받기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
lend,주고받기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
offer,주고받기,레벨1,A2,5,도시와 교통,ch5,O,장면에 넣을 수 있음
reserve,주고받기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
share,주고받기,레벨1,A1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
transfer,주고받기,레벨2,B1,5,도시와 교통,ch5,O,장면에 넣을 수 있음
helicopter,타고 가기,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
parade,타고 가기,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
rocket,타고 가기,레벨2,B2,5,도시와 교통,ch8,X,장면에 넣을 수 있음
van,타고 가기,레벨2,B1,5,도시와 교통,ch8,X,장면에 넣을 수 있음
challenge,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
cope,하고 다루기,레벨2,B2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
dare,하고 다루기,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
deal,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
effort,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
manage,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
operate,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
process,하고 다루기,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
quit,하고 다루기,레벨1,A2,5,도시와 교통,ch9,X,장면에 넣을 수 있음
react,하고 다루기,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
risk,하고 다루기,레벨2,B1,5,도시와 교통,ch9,X,장면에 넣을 수 있음
assist,돕고 섬기기,레벨2,B1,6,음식과 건강,ch10,X,장면에 넣을 수 있음
bless,돕고 섬기기,레벨2,B1,6,음식과 건강,ch10,X,장면에 넣을 수 있음
cure,돕고 섬기기,레벨2,B1,6,음식과 건강,ch10,X,장면에 넣을 수 있음
favor,돕고 섬기기,레벨2,미수록|로부장수기,6,음식과 건강,ch10,X,장면에 넣을 수 있음
